source,target_uri,target,type
plsburydoughboy.bsky.social,at://did:plc:aduyfqmdwfni4slyrbldoeez/app.bsky.feed.post/3mpk5b3dsok2u,,reply
tripletoast.bsky.social,at://did:plc:yll5hj3hgoynr2kpakmv3zpc/app.bsky.feed.post/3mpkabyrhz22v,,reply
voltzyr.myatproto.social,at://did:plc:kjwmjov5vpsswe6goku77cu5/app.bsky.feed.post/3mpjyftl3ns2o,,reply
voltzyr.myatproto.social,at://did:plc:kjwmjov5vpsswe6goku77cu5/app.bsky.feed.post/3mpkep2qokk2o,voltzyr.myatproto.social,reply
arabiafats.bsky.social,at://did:plc:ycas2tfo4fhe4ws3nn7yz5v3/app.bsky.feed.post/3mpkvh273jc24,,reply
luckylittlepickle.bsky.social,at://did:plc:5gq4ggojrocwgdlblsvd6wql/app.bsky.feed.post/3mpkvavrhuk2x,,reply
wastelandcoyote.bsky.social,at://did:plc:u5tdkmobh3kbgtp75n27537b/app.bsky.feed.post/3mplurnsqmc2k,,reply
mcdonalds.help,at://did:plc:2xzjzuyrgz6dmjy2xdhlawgl/app.bsky.feed.post/3mplvw3erps27,,reply
pymundgenealogy.bsky.social,at://did:plc:7bx6ks4hegfffwikddvfiooi/app.bsky.feed.post/3mplwarnov22t,,reply
elisennesh.bsky.social,at://did:plc:n5s2p3ljnxsjmzxwjtu5x4id/app.bsky.feed.post/3mplwclul6s2r,pymundgenealogy.bsky.social,reply
pymundgenealogy.bsky.social,at://did:plc:7bx6ks4hegfffwikddvfiooi/app.bsky.feed.post/3mplwelvgo22t,elisennesh.bsky.social,reply
edu.runlinea.com,at://did:plc:j3d3ovtl7hs7sdjmvpezs6ay/app.bsky.feed.post/3mplxxw6qps23,,reply
phairuus.bsky.social,at://did:plc:sqhefvrv7k7oeivysc7pk4lf/app.bsky.feed.post/3mpkvny7vz22d,,reply
mcoorlim.com,at://did:plc:c3pa7lzzwzr4h4sbcpdsrfxt/app.bsky.feed.post/3mpmjyvq3pk2m,,reply
verasweet.bsky.social,at://did:plc:sgkg35xmgmkuyzqsp63abhxa/app.bsky.feed.post/3mpmrhc43rc2g,,reply
suousona.bsky.social,at://did:plc:mdph36yscbszgxiuauhy6p43/app.bsky.feed.post/3mpmrq6vlm22a,,reply
bigonanime.bsky.social,at://did:plc:auxpj5zuqhyzz66zft7glprg/app.bsky.feed.post/3mpmj7et7vk2x,,reply
bigonanime.bsky.social,at://did:plc:auxpj5zuqhyzz66zft7glprg/app.bsky.feed.post/3mpmxso26ms2x,bigonanime.bsky.social,reply
burritosalad.bsky.social,at://did:plc:s5pb5kge7wuzvjuyg3e3hb76/app.bsky.feed.post/3mpnmj3ahdk2b,,reply
titanicmonarch.bsky.social,at://did:plc:nxy3gfsni44v4vzss46tnrxo/app.bsky.feed.post/3mpis4hbl3c2k,,reply
ludovician8.bsky.social,at://did:plc:icithuvjmaicqjb6xkmhbyt7/app.bsky.feed.post/3mpo4zg67ms2b,,reply
christelle.bsky.social,at://did:plc:wpa3ryz5hxyi4ac3uc6cei52/app.bsky.feed.post/3mppl7uryuk24,,reply
nick-tortelli.bsky.social,at://did:plc:2p6btca5yqpatnyvnjxtcmyc/app.bsky.feed.post/3mpprwhzess26,,reply
out-tome.bsky.social,at://did:plc:sd5j22tuaciqcezjcl5wym7p/app.bsky.feed.post/3mpqbhe3yfs2l,,reply
esshemasha.bsky.social,at://did:plc:cupc65anymjvcsaryxj5s5wf/app.bsky.feed.post/3mpqwqodmls2e,,reply
